ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
a2c0cf18-55a0-44c7-9f58-a3800c058c98,385bd236-5e07-4ddc-8172-84a747b46706,475,99968,53,28,2,2,4,Closed,75.99,2026-08-02 15:08:35,2026-08-02 15:09:13,2026-08-02 15:15:35,2026-08-02 15:09:35,2026-08-02 15:23:35
32e5756f-b6ce-49af-8b03-8a195d69b993,67b7ca8b-ffa4-48f2-9e53-6a57258e48d9,448,92,11,5,4,4,3,Closed,0.0,2026-08-02 17:44:29,2026-08-02 17:45:08,2026-08-02 18:36:29,2026-08-02 17:45:29,2026-08-02 17:59:29
9f4287e1-d018-43e8-a9aa-f090614188b8,2bb63514-10fc-404f-ad41-3cc87bd6101d,128,59,24,25,2,1,4,Resolved,0.0,2026-08-02 17:06:37,2026-08-02 17:08:31,2026-08-02 17:45:37,2026-08-02 17:07:37,2026-08-02 17:21:37
65a287a5-1c8c-421f-b5be-c50f2e88fbc5,810d1a67-3956-44f3-9e6b-6acaa6b08fd3,226,21,13,29,2,3,4,Closed,0.0,2026-08-02 17:05:42,2026-08-02 17:06:07,2026-08-02 17:19:42,2026-08-02 17:06:42,2026-08-02 17:20:42
b26e4c9f-5362-4f93-a5dc-4da4314ed805,31459238-a06d-4cea-8787-41115ada32ae,383,38,28,18,5,3,4,Closed,0.0,2026-08-02 17:17:06,2026-08-02 17:24:09,2026-08-02 18:18:06,2026-08-02 17:18:06,2026-08-02 17:32:06
d40a0ccc-3d4e-4862-941f-e10360d273f5,adfe43aa-76d5-473d-9e2d-762ee26b3d97,25,66,45,5,2,3,3,Closed,48.39,2026-08-02 16:29:36,2026-08-02 16:29:57,2026-08-02 17:29:36,2026-08-02 16:30:36,2026-08-02 16:44:36
86b86b23-eea8-470a-a789-dc20b41a99c4,8b07273d-e414-4eed-a8ae-1ff8591a907f,77,53,30,24,4,3,4,Resolved,0.0,2026-08-02 16:34:03,2026-08-02 16:34:41,2026-08-02 17:07:03,2026-08-02 16:35:03,2026-08-02 16:49:03
df27618d-593f-43b7-aa63-1ae09194a5ed,7792025b-8624-4b12-850e-a0112f33bec4,137,17,10,17,10,3,1,Resolved,106.92,2026-08-02 16:38:56,2026-08-02 16:39:13,2026-08-02 17:52:56,2026-08-02 16:39:56,2026-08-02 16:53:56
8fad6751-0c2a-4223-b6b4-0a9ae6baf5ef,cfd3eef7-2395-41af-81f4-9a6d201bb4f1,426,90,3,2,5,3,2,Resolved,0.0,2026-08-02 16:06:51,2026-08-02 16:14:57,2026-08-02 16:20:51,2026-08-02 16:07:51,2026-08-02 16:21:51
c68fd021-a4ec-4a50-8b30-f38f0744a484,acb6ceec-ae80-4cd9-98be-c6392af47cd7,121,86,19,25,9,4,1,Closed,24.93,2026-08-02 16:11:58,2026-08-02 16:12:22,2026-08-02 16:20:58,2026-08-02 16:12:58,2026-08-02 16:26:58
f2d4a4cc-b7d6-498d-bb01-67285fcf906d,05b5f93e-7553-422e-9889-d5137b157cfd,193,65,15,8,4,3,3,Resolved,0.0,2026-08-02 16:26:18,2026-08-02 16:26:39,2026-08-02 17:21:18,2026-08-02 16:27:18,2026-08-02 16:41:18
2894ca18-4dd3-44a6-aec9-d28052cac731,65b879d6-24b9-4efc-bca1-e4f5248ba6ef,375,51,16,22,8,4,2,Resolved,0.0,2026-08-02 16:56:11,2026-08-02 17:03:06,2026-08-02 17:07:06,2026-08-02 16:57:11,2026-08-02 17:11:11
