ticket_id,order_id,customer_id,driver_id,restaurant_id,agent_id,reason_id,priority_id,channel_id,status,refund_amount,created_at,first_response_at,resolved_at,sla_first_due_at,sla_resolve_due_at
f5376832-b03a-4b60-8146-9a208f495610,460dbff6-d2a0-4505-8b1b-86994d79e53c,478.0,25,2,13,10,1,3,Resolved,0.0,2026-06-18 13:32:59,2026-06-18 13:33:44,2026-06-18 13:37:59,2026-06-18 13:33:59,2026-06-18 13:47:59
25b3851e-4b16-464b-bd5d-783ef5ecdb5d,a64d4256-a6a6-4a8c-9e2e-1bdc1c4f7f94,164.0,84,46,17,3,2,4,Closed,0.0,2026-06-18 13:07:33,2026-06-18 13:10:16,2026-06-18 13:23:33,2026-06-18 13:08:33,2026-06-18 13:22:33
ab9b1a6c-9ffc-4b8e-94a2-002f645e7764,39d750e7-ebdd-4b16-b4f8-ca95e4470a0a,163.0,54,29,8,7,3,3,Closed,0.0,2026-06-18 13:20:52,2026-06-18 13:28:54,2026-06-18 13:33:54,2026-06-18 13:21:52,2026-06-18 13:35:52
32650463-6561-4b88-9502-9ac3680c1fba,dd8f1967-6b0e-479f-a7a0-794b71534104,267.0,44,39,12,1,3,2,Resolved,0.0,2026-06-18 13:24:09,2026-06-18 13:24:29,2026-06-18 13:36:09,2026-06-18 13:25:09,2026-06-18 13:39:09
2166486e-96c5-4b4c-926d-852f6cf45139,15f9b61a-6e8b-4d1d-8728-daa69c0e4f70,229.0,33,45,11,1,3,1,Resolved,0.0,2026-06-18 13:11:42,2026-06-18 13:11:55,2026-06-18 13:16:42,2026-06-18 13:12:42,2026-06-18 13:26:42
1a28e236-cf84-4dcf-a41b-58804458b5da,4d81140e-f942-44be-a746-2c4152110700,442.0,37,23,7,6,1,3,Closed,0.0,2026-06-18 12:15:21,2026-06-18 12:15:50,2026-06-18 12:24:21,2026-06-18 12:16:21,2026-06-18 12:30:21
2644fff6-bffa-44ab-81db-6dddf837af3c,c5fe8c09-b137-4cbd-ac0c-5eac2fb03b61,233.0,46,16,26,8,3,2,Closed,0.0,2026-06-18 13:39:00,2026-06-18 13:39:14,2026-06-18 13:53:00,2026-06-18 13:40:00,2026-06-18 13:54:00
d02d04f0-5bdb-4c50-a4d6-c5b964a30aa8,ddc61ed6-e281-4ad0-ac33-a18af17a7624,383.0,71,20,15,8,3,3,Closed,0.0,2026-06-18 12:38:13,2026-06-18 12:39:08,2026-06-18 12:45:13,2026-06-18 12:39:13,2026-06-18 12:53:13
8d885c7b-c401-4ede-a14f-5bfa9d346bf6,6913d19f-3e62-45bf-9705-5be7b75d311b,269.0,6,13,2,4,4,3,Resolved,75.16,2026-06-18 13:49:09,2026-06-18 13:49:20,2026-06-18 14:01:09,2026-06-18 13:50:09,2026-06-18 14:04:09
ae757665-637c-4510-b9e2-c8df745f7823,eac92de1-0352-4d17-a571-73cf6176c2cb,281.0,20,36,25,1,4,4,Closed,51.41,2026-06-18 12:38:48,2026-06-18 12:39:29,2026-06-18 12:43:48,2026-06-18 12:39:48,2026-06-18 12:53:48
